playerID,yearID,Age,teamID,lgID,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS_Plus,TB,GDP,HBP,SH,SF,IBB
abadfe01,2017,31,BOS,AL,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abreujo02,2017,30,CHW,AL,156,675,621,95,189,43,6,33,102,3,0,35,119,0.304,0.354,0.552,0.906,140,343,21,15,0,4,6
adamecr01,2017,25,COL,NL,12,14,13,1,0,0,0,0,0,0,0,1,6,0,0.071,0,0.071,-80,0,0,0,0,0,0
adamsau02,2017,26,WSN,NL,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
adamsla01,2017,27,ATL,NL,85,122,109,19,30,4,1,5,20,10,0,10,37,0.275,0.339,0.468,0.807,110,51,3,1,1,1,0
adamsma01,2017,28,ATL,NL,100,314,291,42,79,20,1,19,58,0,0,19,71,0.271,0.315,0.543,0.858,121,158,5,1,0,3,5
adamsma01,2017,28,STL,NL,31,53,48,4,14,2,0,1,7,0,0,4,17,0.292,0.34,0.396,0.735,94,19,0,0,0,1,0
adducji02,2017,32,DET,AL,29,93,83,14,20,6,2,1,10,1,1,10,27,0.241,0.323,0.398,0.72,90,33,1,0,0,0,0
adlemti01,2017,29,CIN,NL,27,32,29,0,3,1,0,0,2,0,0,0,10,0.103,0.103,0.138,0.241,-37,4,0,0,3,0,0
adriaeh01,2017,27,MIN,AL,70,186,162,30,43,9,2,2,24,8,1,16,25,0.265,0.324,0.383,0.707,90,62,0,1,1,6,1
aguilje01,2017,27,MIL,NL,133,311,279,40,74,15,2,16,52,0,0,25,94,0.265,0.331,0.505,0.837,114,141,8,4,0,3,1
ahmedni01,2017,27,ARI,NL,53,178,167,24,42,8,1,6,21,3,4,10,39,0.251,0.298,0.419,0.717,78,70,6,1,0,0,3
alberan01,2017,31,SEA,AL,1,3,1,0,1,0,0,0,1,0,0,0,0,1,1,1,2,448,1,0,0,2,0,0
alberma01,2017,34,WSN,NL,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
albieoz01,2017,20,ATL,NL,57,244,217,34,62,9,5,6,28,8,1,21,36,0.286,0.354,0.456,0.81,112,99,3,3,1,2,0
albural01,2017,31,KCR,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
alcanar01,2017,25,CIN,NL,70,108,105,13,18,3,1,1,7,2,0,2,38,0.171,0.187,0.248,0.435,13,26,2,0,1,0,0
alcansa01,2017,21,STL,NL,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
alexasc02,2017,27,KCR,AL,4,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,0,0,0,0,0
alfarjo01,2017,24,PHI,NL,29,114,107,12,34,6,0,5,14,0,0,3,33,0.318,0.36,0.514,0.874,129,55,2,4,0,0,1
alforan01,2017,22,TOR,AL,4,8,8,0,1,1,0,0,0,0,0,0,3,0.125,0.125,0.25,0.375,-5,2,0,0,0,0,0
allenco01,2017,28,CLE,AL,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
allengr01,2017,24,CLE,AL,25,39,35,7,8,1,0,1,6,1,0,2,8,0.229,0.282,0.343,0.625,63,12,0,1,0,1,0
almonab01,2017,28,CLE,AL,69,195,172,26,40,8,3,3,14,2,1,20,46,0.233,0.314,0.366,0.681,78,63,2,1,1,1,0
almoral01,2017,23,CHC,NL,132,323,299,39,89,18,1,8,46,1,0,19,53,0.298,0.338,0.445,0.782,101,133,8,0,3,2,1
alonsyo01,2017,30,SEA,AL,42,150,132,20,35,5,0,6,18,1,0,18,30,0.265,0.353,0.439,0.793,114,58,3,0,0,0,0
alonsyo01,2017,30,OAK,AL,100,371,319,52,85,17,0,22,49,1,0,50,88,0.266,0.369,0.527,0.896,140,168,6,2,0,0,6
altavda01,2017,24,SEA,AL,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
